domain,instance,configuration,sat_time,unsat_time,states
spiky-tireworld,p01,asp-1,12.16,465.98,22
spiky-tireworld,p01,asp-2,0.0,3160.5,24
spiky-tireworld,p03,asp-1,11.23,474.47,22
spiky-tireworld,p03,asp-2,0.0,359.51000000000005,21
elevators,p01,asp-1,0.74,0.55,13
elevators,p01,asp-2,0.29,0.11,13
elevators,p03,asp-1,1.71,0.89,15
elevators,p03,asp-2,14.15,0.99,17
blocksworld-ipc08,p01,asp-1,0.31,0.29000000000000004,8
blocksworld-ipc08,p01,asp-2,0.62,0.8500000000000001,9
blocksworld-ipc08,p03,asp-1,0.25,0.49,9
blocksworld-ipc08,p03,asp-2,0.93,0.36,10
first-responders-ipc08,p01,asp-1,0.0,0.0,3
first-responders-ipc08,p01,asp-2,0.0,0.0,3
first-responders-ipc08,p03,asp-1,0.0,0.0,3
first-responders-ipc08,p03,asp-2,0.0,0.0,3
tireworld-truck,p01,asp-1,0.13,0.12,10
tireworld-truck,p01,asp-2,0.15,0.11000000000000001,10
tireworld-truck,p03,asp-1,0.12,0.1,10
tireworld-truck,p03,asp-2,0.15,0.11,10
tireworld,p01,asp-1,0.0,0.43000000000000005,28
tireworld,p01,asp-2,0.0,0.10999999999999999,19
tireworld,p03,asp-1,0.0,42.54999999999999,90
tireworld,p03,asp-2,0.0,0.07,18
faults-ipc08,p01,asp-1,0.0,0.0,4
faults-ipc08,p01,asp-2,0.0,0.0,4
faults-ipc08,p03,asp-1,0.0,0.0,4
faults-ipc08,p03,asp-2,0.0,0.0,4
miner,p01,asp-1,1.13,2.87,17
miner,p01,asp-2,3.39,9.09,21
miner,p03,asp-1,0.72,1.5600000000000003,13
miner,p03,asp-2,14.91,18.38,19
beam-walk,p01,asp-1,0.0,0.0,7
beam-walk,p01,asp-2,0.0,0.0,7
beam-walk,p03,asp-1,7.74,22.199999999999996,31
beam-walk,p03,asp-2,6.26,22.21,31
earth_observation,p01,asp-1,7.25,174.0,19
earth_observation,p01,asp-2,9.38,180.47000000000003,19
earth_observation,p03,asp-1,7.08,173.72,19
earth_observation,p03,asp-2,9.72,181.70000000000002,19
triangle-tireworld,p01,asp-1,0.0,0.0,7
triangle-tireworld,p01,asp-2,0.0,0.01,10
triangle-tireworld,p03,asp-1,0.0,0.0,7
triangle-tireworld,p03,asp-2,0.0,0.02,10
islands,p01,asp-1,0.0,0.0,3
islands,p01,asp-2,0.0,0.0,5
islands,p03,asp-1,0.0,0.0,3
islands,p03,asp-2,0.01,0.0,5
